창고,SKU명,카테고리,예측수요,현재고,안전재고계수,조정수요,발주권고량,발주필요
A센터,[CJ제일제당] 다시다_500g (1949),가공식품,124,187.8336398879195,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (1955),가공식품,124,47.13153103332891,1.05,130,83,1
A센터,[CJ제일제당] 다시다_500g (1977),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (2031),가공식품,124,223.33715897766893,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2089),가공식품,124,253.7205386398863,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2133),가공식품,124,282.42369947965767,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2194),가공식품,124,101.05867330981317,1.05,130,29,1
A센터,[CJ제일제당] 다시다_500g (2244),가공식품,124,197.16670266420613,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2290),가공식품,124,112.05449100172905,1.05,130,18,1
A센터,[CJ제일제당] 다시다_500g (2298),가공식품,124,173.7861564428142,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2334),가공식품,124,393.3128317623076,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2359),가공식품,124,93.85400524339354,1.05,130,36,1
A센터,[CJ제일제당] 다시다_500g (2365),가공식품,124,437.99832763284667,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2371),가공식품,124,289.56859500618054,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2387),가공식품,124,249.96043036361465,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2488),가공식품,124,48.10504371194233,1.05,130,82,1
A센터,[CJ제일제당] 다시다_500g (2500),가공식품,124,239.7673850479676,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2516),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (2554),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (2572),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (2590),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (2612),가공식품,124,241.2071341893577,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2628),가공식품,124,508.10064306452443,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2714),가공식품,124,140.55440298050436,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2738),가공식품,124,252.73083690293896,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2799),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (2854),가공식품,124,299.7024831053576,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2864),가공식품,124,186.53121589764842,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2866),가공식품,124,212.06751940460944,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (2873),가공식품,124,121.90709817892872,1.05,130,8,1
A센터,[CJ제일제당] 다시다_500g (2934),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (3020),가공식품,124,23.942349864418105,1.05,130,106,1
A센터,[CJ제일제당] 다시다_500g (3048),가공식품,124,205.8919130879281,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (3055),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (3082),가공식품,124,95.37057775726146,1.05,130,35,1
A센터,[CJ제일제당] 다시다_500g (3099),가공식품,124,199.158434662614,1.05,130,0,0
A센터,[CJ제일제당] 다시다_500g (3129),가공식품,124,50.32879479683075,1.05,130,80,1
A센터,[CJ제일제당] 다시다_500g (3182),가공식품,124,13.00821682917288,1.05,130,117,1
A센터,[CJ제일제당] 다시다_500g (3206),가공식품,124,56.733070210176635,1.05,130,73,1
A센터,[CJ제일제당] 다시다_500g (3210),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 다시다_500g (3276),가공식품,124,344.30570362087485,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0082),가공식품,124,242.9075986171226,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0095),가공식품,124,139.3356363858011,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0116),가공식품,124,207.77294316404394,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0184),가공식품,124,157.30438196524275,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0249),가공식품,124,45.24736863494323,1.05,130,85,1
A센터,[CJ제일제당] 백설탕_1kg (0301),가공식품,124,302.17516801468065,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0332),가공식품,124,117.02835042984972,1.05,130,13,1
A센터,[CJ제일제당] 백설탕_1kg (0401),가공식품,124,20.106752510628013,1.05,130,110,1
A센터,[CJ제일제당] 백설탕_1kg (0458),가공식품,124,187.2299805168013,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0471),가공식품,124,113.89554594918107,1.05,130,16,1
A센터,[CJ제일제당] 백설탕_1kg (0501),가공식품,124,383.0545883684643,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0537),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (0542),가공식품,124,27.696174824172147,1.05,130,102,1
A센터,[CJ제일제당] 백설탕_1kg (0546),가공식품,124,251.78293691876016,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0578),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (0616),가공식품,124,213.84713594715384,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0649),가공식품,124,454.5079595461676,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0669),가공식품,124,168.49581606683128,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0684),가공식품,124,144.44499477241365,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0718),가공식품,124,328.7866229302101,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0753),가공식품,124,190.43899173384457,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0797),가공식품,124,162.1032314167001,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0835),가공식품,124,12.1375978359045,1.05,130,118,1
A센터,[CJ제일제당] 백설탕_1kg (0852),가공식품,124,166.20925312439428,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0897),가공식품,124,154.60824722203952,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (0904),가공식품,124,107.35168708491958,1.05,130,23,1
A센터,[CJ제일제당] 백설탕_1kg (0982),가공식품,124,258.2284812406285,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1175),가공식품,124,186.35267053892503,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1196),가공식품,124,85.0702809848506,1.05,130,45,1
A센터,[CJ제일제당] 백설탕_1kg (1264),가공식품,124,150.17582969974347,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1283),가공식품,124,192.777755156441,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1392),가공식품,124,466.28064408734053,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1516),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (1544),가공식품,124,80.59349931990454,1.05,130,49,1
A센터,[CJ제일제당] 백설탕_1kg (1550),가공식품,124,105.10609298788194,1.05,130,25,1
A센터,[CJ제일제당] 백설탕_1kg (1640),가공식품,124,339.4128586124526,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1649),가공식품,124,153.2756118627448,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1670),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (1726),가공식품,124,378.15812882142046,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1802),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (1834),가공식품,124,74.05997284153042,1.05,130,56,1
A센터,[CJ제일제당] 백설탕_1kg (1890),가공식품,124,60.88699464039851,1.05,130,69,1
A센터,[CJ제일제당] 백설탕_1kg (1905),가공식품,124,176.55957466318446,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1921),가공식품,124,272.3312577477309,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (1938),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (1965),가공식품,124,118.44480174249108,1.05,130,12,1
A센터,[CJ제일제당] 백설탕_1kg (2033),가공식품,124,34.3492282723831,1.05,130,96,1
A센터,[CJ제일제당] 백설탕_1kg (2169),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (2188),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (2197),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (2210),가공식품,124,68.5392219050328,1.05,130,61,1
A센터,[CJ제일제당] 백설탕_1kg (2299),가공식품,124,217.0969967695075,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (2319),가공식품,124,37.236522385362775,1.05,130,93,1
A센터,[CJ제일제당] 백설탕_1kg (2322),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (2351),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (2357),가공식품,124,23.586236244805008,1.05,130,106,1
A센터,[CJ제일제당] 백설탕_1kg (2432),가공식품,124,16.34266575288507,1.05,130,114,1
A센터,[CJ제일제당] 백설탕_1kg (2435),가공식품,124,130.0276603972516,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (2537),가공식품,124,218.05585602756958,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (2542),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (2565),가공식품,124,302.45997482783,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (2626),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (2675),가공식품,124,307.53265517953355,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (2741),가공식품,124,237.83760166751725,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (2895),가공식품,124,16.606056409700045,1.05,130,113,1
A센터,[CJ제일제당] 백설탕_1kg (2914),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 백설탕_1kg (3002),가공식품,124,201.03388944872526,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (3051),가공식품,124,243.80104896700468,1.05,130,0,0
A센터,[CJ제일제당] 백설탕_1kg (3118),가공식품,124,87.80921439830558,1.05,130,42,1
A센터,[CJ제일제당] 백설탕_1kg (3180),가공식품,124,0.0,1.05,130,130,1
A센터,[CJ제일제당] 비엔나_120g (0015),육가공,110,201.25775086125728,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0049),육가공,110,116.00838553339426,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0062),육가공,110,100.61612965038691,1.05,116,15,1
A센터,[CJ제일제당] 비엔나_120g (0135),육가공,110,270.18560367515374,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0279),육가공,110,117.62768156712573,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0356),육가공,110,71.97190415724387,1.05,116,44,1
A센터,[CJ제일제당] 비엔나_120g (0379),육가공,110,65.45553737026998,1.05,116,51,1
A센터,[CJ제일제당] 비엔나_120g (0386),육가공,110,124.45517568299582,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0398),육가공,110,252.00642284613298,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0481),육가공,110,347.08207298711443,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0665),육가공,110,13.368954631594619,1.05,116,103,1
A센터,[CJ제일제당] 비엔나_120g (0679),육가공,110,267.2825392231922,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0690),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (0710),육가공,110,188.20504376599288,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0728),육가공,110,213.0627265654174,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0794),육가공,110,167.97458056884636,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0807),육가공,110,249.40277586681722,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0838),육가공,110,74.82098654722651,1.05,116,41,1
A센터,[CJ제일제당] 비엔나_120g (0870),육가공,110,224.3605500441466,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (0896),육가공,110,218.50202731405287,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1039),육가공,110,76.65802640551766,1.05,116,39,1
A센터,[CJ제일제당] 비엔나_120g (1044),육가공,110,127.07922264195884,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1049),육가공,110,3.3260673272462498,1.05,116,113,1
A센터,[CJ제일제당] 비엔나_120g (1055),육가공,110,395.93136913108196,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1066),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (1211),육가공,110,62.71283737104531,1.05,116,53,1
A센터,[CJ제일제당] 비엔나_120g (1354),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (1417),육가공,110,47.26484904943587,1.05,116,69,1
A센터,[CJ제일제당] 비엔나_120g (1439),육가공,110,26.277296239300256,1.05,116,90,1
A센터,[CJ제일제당] 비엔나_120g (1476),육가공,110,236.92351809099506,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1499),육가공,110,220.04075322368294,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1541),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (1574),육가공,110,50.11500784405936,1.05,116,66,1
A센터,[CJ제일제당] 비엔나_120g (1601),육가공,110,152.45042116046162,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1660),육가공,110,16.895742239139906,1.05,116,99,1
A센터,[CJ제일제당] 비엔나_120g (1668),육가공,110,109.07424862402223,1.05,116,7,1
A센터,[CJ제일제당] 비엔나_120g (1800),육가공,110,271.13696791024427,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1801),육가공,110,175.57718022020376,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1845),육가공,110,45.27799733010232,1.05,116,71,1
A센터,[CJ제일제당] 비엔나_120g (1894),육가공,110,50.140298996096476,1.05,116,66,1
A센터,[CJ제일제당] 비엔나_120g (1895),육가공,110,241.78241536311143,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1898),육가공,110,161.10278061272564,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1923),육가공,110,65.99575404332299,1.05,116,50,1
A센터,[CJ제일제당] 비엔나_120g (1950),육가공,110,174.05069709499026,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (1970),육가공,110,194.56890446832685,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2067),육가공,110,158.48371711196984,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2122),육가공,110,124.37094947240311,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2155),육가공,110,0.21735798103335924,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2173),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2191),육가공,110,30.694112441197234,1.05,116,85,1
A센터,[CJ제일제당] 비엔나_120g (2249),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2266),육가공,110,8.782092107119865,1.05,116,107,1
A센터,[CJ제일제당] 비엔나_120g (2358),육가공,110,191.6049258679137,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2361),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2363),육가공,110,244.56957189806974,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2382),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2393),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2420),육가공,110,209.3825351327885,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2501),육가공,110,330.51115951558455,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2514),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2517),육가공,110,168.26696333857237,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2577),육가공,110,46.46169929086693,1.05,116,70,1
A센터,[CJ제일제당] 비엔나_120g (2681),육가공,110,109.63255844908278,1.05,116,6,1
A센터,[CJ제일제당] 비엔나_120g (2705),육가공,110,164.90684001643424,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2718),육가공,110,0.28163975897044224,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2732),육가공,110,31.12744857031936,1.05,116,85,1
A센터,[CJ제일제당] 비엔나_120g (2743),육가공,110,194.7580638822088,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2748),육가공,110,85.70656374666018,1.05,116,30,1
A센터,[CJ제일제당] 비엔나_120g (2752),육가공,110,130.51043512026152,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2800),육가공,110,298.5988770219951,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2810),육가공,110,119.93292281138653,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2867),육가공,110,203.61215905944553,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2882),육가공,110,133.38499913167928,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2901),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (2923),육가공,110,85.35363394547645,1.05,116,31,1
A센터,[CJ제일제당] 비엔나_120g (2926),육가공,110,155.28019366869586,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2939),육가공,110,182.5542591366816,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2974),육가공,110,156.00257872753795,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (2993),육가공,110,142.96362102231262,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (3023),육가공,110,85.07455666123215,1.05,116,31,1
A센터,[CJ제일제당] 비엔나_120g (3081),육가공,110,14.796898751410794,1.05,116,101,1
A센터,[CJ제일제당] 비엔나_120g (3116),육가공,110,182.27772901407027,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (3141),육가공,110,169.38849161025945,1.05,116,0,0
A센터,[CJ제일제당] 비엔나_120g (3220),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 비엔나_120g (3298),육가공,110,90.3593204717528,1.05,116,26,1
A센터,[CJ제일제당] 스팸_340g (0005),육가공,110,258.42470288973243,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0052),육가공,110,70.3780814085246,1.05,116,46,1
A센터,[CJ제일제당] 스팸_340g (0075),육가공,110,159.33771350562586,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0114),육가공,110,183.87063421960633,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0142),육가공,110,44.02701617714101,1.05,116,72,1
A센터,[CJ제일제당] 스팸_340g (0252),육가공,110,112.71326544400421,1.05,116,3,1
A센터,[CJ제일제당] 스팸_340g (0287),육가공,110,15.953328388926508,1.05,116,100,1
A센터,[CJ제일제당] 스팸_340g (0294),육가공,110,50.88256672264376,1.05,116,65,1
A센터,[CJ제일제당] 스팸_340g (0397),육가공,110,35.661157069339424,1.05,116,80,1
A센터,[CJ제일제당] 스팸_340g (0416),육가공,110,242.47576219509637,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0420),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (0432),육가공,110,216.94372025345768,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0480),육가공,110,134.32965205471552,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0536),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (0573),육가공,110,23.521089894034617,1.05,116,92,1
A센터,[CJ제일제당] 스팸_340g (0678),육가공,110,341.84612214672836,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0730),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (0772),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (0781),육가공,110,175.86581017975678,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0799),육가공,110,159.84438095602886,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (0803),육가공,110,109.57570852571419,1.05,116,6,1
A센터,[CJ제일제당] 스팸_340g (0827),육가공,110,38.62383545428028,1.05,116,77,1
A센터,[CJ제일제당] 스팸_340g (0918),육가공,110,95.30005972787288,1.05,116,21,1
A센터,[CJ제일제당] 스팸_340g (0970),육가공,110,108.26055972544702,1.05,116,8,1
A센터,[CJ제일제당] 스팸_340g (1018),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (1026),육가공,110,204.36141786452316,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1098),육가공,110,1.5060780382786447,1.05,116,114,1
A센터,[CJ제일제당] 스팸_340g (1145),육가공,110,224.92428801694757,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1150),육가공,110,194.29377335384348,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1200),육가공,110,155.43915060435302,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1229),육가공,110,180.70892284154175,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1303),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (1350),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (1353),육가공,110,0.0,1.05,116,116,1
A센터,[CJ제일제당] 스팸_340g (1359),육가공,110,105.99026680373933,1.05,116,10,1
A센터,[CJ제일제당] 스팸_340g (1466),육가공,110,147.67699763485285,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1475),육가공,110,262.80922481302645,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1682),육가공,110,147.71052584801487,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1694),육가공,110,320.907205051962,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1708),육가공,110,238.41683470610874,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1711),육가공,110,38.94860040394627,1.05,116,77,1
A센터,[CJ제일제당] 스팸_340g (1722),육가공,110,209.21047312669552,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1789),육가공,110,235.479012712713,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1792),육가공,110,252.16147022698289,1.05,116,0,0
A센터,[CJ제일제당] 스팸_340g (1817),육가공,110,10.003713894350113,1.05,116,106,1
